id,Original_Message,Extremism_Label,VE_NVE_classification,VE_NVE_text_span,VE_NVE_explanation,VE_NVE_confidence,VE_subtype,VE_subtype_text_span,VE_subtype_explanation,target_groups,target_groups_text_span,target_groups_explanation
67,human babes are not pleasant to look at i prefer the animals,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
68,black is such a filthy skin color everything black gets dirty easily that is why white is always superior,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
69,maybe italians see this as the only effective where are you to purge italy from illegal immigration,EXTREMIST,VE,"""where are you to purge italy from illegal immigration""","The term ""purge"" in this context implies a call for violent removal or cleansing, which aligns with coded incitement to violence against a group, meeting the VE criteria.",HIGH,IDEOLOGICAL,"""purge italy from illegal immigration""","The call to ""purge"" illegal immigration reflects an ethnonationalist or nationalist ideology targeting a specific group based on immigration status and national identity, fitting the IDEOLOGICAL subtype.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
70,let us kill all of them and get it over with they are fucking scum,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
71,i will shoot my boss,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
72,next you could ask the grand wizard of the kkk why so many are intolerant this poor soul s views cunt scot frc fox news,EXTREMIST,NVE,"""grand wizard of the kkk""","The post references a supremacist figure (""grand wizard of the kkk"") and uses derogatory language but does not contain any direct or implied calls for physical violence or threats. This fits the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
73,if the truth be known if it what a slut christian refugees it would not be a problem have not seen a christian refugee shoot or kill,EXTREMIST,NVE,"""have not seen a christian refugee shoot or kill""","The post expresses a negative stereotype and uses derogatory language (""slut christian refugees"") but does not call for or celebrate violence; it actually denies that Christian refugees have committed violent acts, indicating no incitement or endorsement of violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
76,whatever the fucking fascist nazi will see how you non white scum will trip yourselves up and i hope you get sued to hell and back that will be a good day i can hardly wait,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
78,i endorse the genocide of alan worshipers,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
80,i purpose that whatever attack everyone who cannot adhere to british values starting with channel crosses,EXTREMIST,VE,"""attack everyone who cannot adhere to british values""","The phrase ""attack everyone who cannot adhere to british values"" is a direct call to violence against a group, meeting the VE indicator of direct calls to violence.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
83,whatever applaud the murder of immigrants,EXTREMIST,VE,"""applaud the murder of immigrants""","The phrase explicitly celebrates (""applaud"") the murder of a group, which is a direct celebration of violence, fitting the VE indicator of celebrating violence.",HIGH,IDEOLOGICAL,"""murder of immigrants""","The post targets immigrants, indicating violence driven by ethnic or racial animus, which aligns with the ideological subtype involving supremacist or ethnic-based violence.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
92,whatever applaud the murder of old people,EXTREMIST,VE,"""applaud the murder of old people""","The phrase explicitly celebrates (""applaud"") the murder of a group, which is a direct celebration of violence, fitting the VE indicator of celebrating violence.",HIGH,Unclear,"""applaud the murder of old people""","The post calls for violence against a demographic group (old people) but does not specify any ideological, political, or religious motivation, making it unclear which subtype applies.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
93,i will kill this afro american so he does not bother us anymore,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
94,let us kill all of them and get it over with they are fucking trash and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
95,society sucks because whatever do not kill enough people like her,EXTREMIST,VE,"""do not kill enough people like her""","The phrase explicitly references killing people, implying a call or endorsement of physical violence, which meets the criteria for violent extremism.",HIGH,Unclear,"""society sucks because whatever do not kill enough people like her""","The post expresses general hostility and violence but lacks clear indicators of ideological, political, or religious motivation, making it unclear which subtype applies.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
96,i purpose that whatever attack everyone who cannot adhere to british values starting with blacks,EXTREMIST,VE,"""attack everyone who cannot adhere to british values starting with blacks""","The post contains a direct call to violence with the word ""attack"" targeting a specific group, which meets the criteria for violent extremism.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
97,let us kill all of them and get it over with they are all fucking rapists and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
98,if you claim you do not have the power to forgive but only allah why then do you arrogate yourself the power to avenge are you not double speaking why not leave both powers to the owner allah and allow him to fight for himself or is he not capable whatever are not afraid of you whatever are not afraid of death everyone will eventually die both the killer and they killed our lord jesus long time ago warned us about sects like yours and encouraged us not to be afraid for you can only kill the body but can do no further harm after that you cannot kill our souls which ultimately goes back to our god so kill all you can jesus will forever remain lord,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
100,let us all kill ourselves and get it over with,EXTREMIST,VE,"""let us all kill ourselves and get it over with""","The phrase explicitly calls for collective suicide, which is a direct call to physical violence against oneself, fitting the VE indicator of direct calls to violence.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
104,your trainees are literally going to hang by your boss,EXTREMIST,VE,"""your trainees are literally going to hang by your boss""","The phrase ""going to hang"" explicitly implies a threat of physical violence (hanging), which qualifies as a direct call or threat of violence under VE indicators.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
105,rick told you all to go back and kill em all you all nicolas did not listen now they are chewing on bob s leg and shit extra tasty crispy,EXTREMIST,VE,"""rick told you all to go back and kill em all""","The phrase ""go back and kill em all"" is a direct call to violence, meeting the VE indicator of explicit calls to violence.",HIGH,Unclear,"""rick told you all to go back and kill em all""","The phrase suggests a violent directive but lacks clear ideological, political, or religious motivation based on the provided text, making it unclear which subtype applies.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
106,fuck pakis fucking animals have more sense than them,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
110,it is a plague to this world and i hope someone will kill this woman,EXTREMIST,VE,"""i hope someone will kill this woman""","The phrase explicitly calls for physical violence by hoping someone kills the individual, meeting the VE indicator of a direct call to violence.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
111,let us kill all of them and get it over with they are all fucking monsters and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
112,let us kill all of them and get it over with they are murderers and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
116,actually that sign had been used as okay or cool long before retarded democratic library globalist cunts like you started calling everything white power and racism and being offended by everything so go get fucked by a rapefugee you transsexual fag,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
117,whatever applaud the murder of allah worshipers,EXTREMIST,VE,"""applaud the murder of allah worshipers""","The phrase explicitly celebrates the murder of a religious group, which is a direct celebration of physical violence, meeting the criteria for violent extremism.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
120,i purpose that whatever attack everyone who cannot adhere to british values starting with asylum seekers,EXTREMIST,VE,"""attack everyone who cannot adhere to british values starting with asylum seekers""","The post contains a direct call to violence with the word ""attack"" targeting a specific group, which meets the VE indicator of direct calls to violence.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
123,ill kill them so they do not bother me anymore,EXTREMIST,VE,"""ill kill them so they do not bother me anymore""","The post contains a direct call to violence with the phrase ""ill kill them,"" which explicitly advocates physical violence. This matches the VE indicator of direct calls to violence.",HIGH,Unclear,"""ill kill them so they do not bother me anymore""","The post expresses a violent intent but lacks any indication of ideological, political, or religious motivation, making it impossible to classify the subtype based on the given definitions.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
125,let us kill all of them and get it over with they are all scum and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
126,i endorse the murder of black people,EXTREMIST,VE,"""i endorse the murder of black people""","The post explicitly endorses murder, which is a direct call to physical violence, meeting the VE criteria of advocating or celebrating violence against a group.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
